DateTime,Emotion
Sat Oct 13 04:48:11 2018,normal
Sat Oct 13 05:35:12 2018,neutral
Sat Oct 13 05:36:28 2018,normal
Sat Oct 13 05:37:36 2018,normal
Sat Oct 13 08:24:16 2018,neutral
Sat Oct 13 08:28:37 2018,normal
Sat Oct 13 08:28:53 2018,neutral
Sat Oct 13 08:38:30 2018,normal
Sat Oct 13 08:38:40 2018,normal
Sat Oct 13 09:11:07 2018,neutral
Sat Oct 13 09:11:18 2018,neutral
